Entidad,Año,Suicidios,Inseguridad,victimas_delitos
Ags,2017,140,43.7,0
Ags,2018,140,60.9,2333
Ags,2019,157,56.4,3900
Ags,2020,181,54.6,3000
Ags,2021,174,51.5,4794
B.C.,2017,166,58,1120
B.C.,2018,194,72.7,15677
B.C.,2019,169,66.4,16002
B.C.,2020,97,64.2,17748
B.C.,2021,121,68.1,21197
B.C.S.,2017,47,60.9,1152
B.C.S.,2018,57,65.3,2391
B.C.S.,2019,59,48.2,3816
B.C.S.,2020,67,35.7,3421
B.C.S.,2021,58,34.3,4786
Camp,2017,74,57.6,0
Camp,2018,69,57.8,500
Camp,2019,95,61,810
Camp,2020,70,56.1,472
Camp,2021,110,53.2,630
Chis,2017,262,61.1,313
Chis,2018,147,71.4,971
Chis,2019,200,68.8,1851
Chis,2020,203,67,2250
Chis,2021,247,66.7,2523
Chih,2017,405,74.2,0
Chih,2018,365,80.9,12025
Chih,2019,400,80.8,15238
Chih,2020,541,75.7,13722
Chih,2021,573,73.6,19406
CDMX,2017,302,85.7,912
CDMX,2018,227,88.3,25724
CDMX,2019,234,89.2,29496
CDMX,2020,450,85.8,23433
CDMX,2021,352,85.3,24928
Coah,2017,201,56.4,163
Coah,2018,216,64,7139
Coah,2019,261,57.1,7897
Coah,2020,273,53,8179
Coah,2021,294,53.4,9778
Col,2017,46,74.5,0
Col,2018,51,80.5,1412
Col,2019,39,77.8,1911
Col,2020,50,73.3,1555
Col,2021,77,72.5,840
Dgo,2017,124,57.4,40
Dgo,2018,122,60.4,4174
Dgo,2019,127,64.7,4467
Dgo,2020,115,54.3,3120
Dgo,2021,139,59.3,4383
Gto,2017,494,75.2,288
Gto,2018,504,83,11988
Gto,2019,493,88.8,14321
Gto,2020,501,84.2,12445
Gto,2021,449,84.3,15901
Gro,2017,73,83.1,478
Gro,2018,63,84.2,2538
Gro,2019,77,84.7,2587
Gro,2020,47,88.5,2294
Gro,2021,44,77.3,4090
Hgo,2017,116,55.1,1005
Hgo,2018,109,63.3,3786
Hgo,2019,117,65.5,3660
Hgo,2020,132,66.1,3582
Hgo,2021,186,65,6211
Jal,2017,658,65.7,1513
Jal,2018,630,73.6,6580
Jal,2019,605,77.7,12028
Jal,2020,655,83.1,7460
Jal,2021,728,76,12677
Mich,2017,206,77.6,816
Mich,2018,245,81.9,3919
Mich,2019,334,80.2,5043
Mich,2020,375,83,7285
Mich,2021,330,79.5,6586
Mor,2017,71,86.3,0
Mor,2018,88,86.4,2099
Mor,2019,90,88.5,1338
Mor,2020,106,87.3,2569
Mor,2021,158,86.6,2705
Edo. Mx,2017,570,90.7,4
Edo. Mx,2018,584,91.8,22920
Edo. Mx,2019,715,88.8,24893
Edo. Mx,2020,832,92.4,16573
Edo. Mx,2021,942,91.3,19187
Nay,2017,72,58.6,610
Nay,2018,66,83.5,2307
Nay,2019,77,60.5,3797
Nay,2020,91,52.4,3494
Nay,2021,92,52.2,4517
N.L.,2017,270,71.1,0
N.L.,2018,317,75.1,17039
N.L.,2019,318,81.7,15046
N.L.,2020,351,71.9,20534
N.L.,2021,400,61.2,25124
Oax,2017,129,74.1,658
Oax,2018,140,76.6,3710
Oax,2019,166,71.2,4331
Oax,2020,214,75.3,3039
Oax,2021,189,72.6,4439
Pue,2017,302,68.1,520
Pue,2018,319,81.4,4107
Pue,2019,345,87.7,7297
Pue,2020,336,87.5,7122
Pue,2021,360,85.6,7431
Qro,2017,137,54.4,790
Qro,2018,138,62,3700
Qro,2019,175,62,3380
Qro,2020,200,48.9,3813
Qro,2021,232,57.7,3430
Q. Roo,2017,135,68.5,193
Q. Roo,2018,125,73.3,1827
Q. Roo,2019,133,82.1,2151
Q. Roo,2020,176,83.1,2123
Q. Roo,2021,167,75.8,3162
SLP.,2017,199,73.7,0
SLP.,2018,204,81.3,2716
SLP.,2019,239,77.6,1903
SLP.,2020,258,80.2,946
SLP.,2021,282,81.6,1577
Sin,2017,168,74.5,526
Sin,2018,135,72.6,5797
Sin,2019,152,64.6,5559
Sin,2020,115,67.4,2502
Sin,2021,173,60.3,3338
Son,2017,264,57.4,1096
Son,2018,267,66.9,4672
Son,2019,263,68.3,8669
Son,2020,304,68.4,9087
Son,2021,328,76.5,15330
Tabs,2017,108,88.8,0
Tabs,2018,142,91.9,4454
Tabs,2019,126,90.2,8763
Tabs,2020,115,90.1,3890
Tabs,2021,110,84.8,6366
Tamps,2017,158,85.2,708
Tamps,2018,164,86.4,2117
Tamps,2019,174,83.1,2921
Tamps,2020,164,79.8,2173
Tamps,2021,202,76.2,2707
Tlax,2017,55,59.1,20
Tlax,2018,55,68.8,575
Tlax,2019,65,69.4,633
Tlax,2020,52,67.7,770
Tlax,2021,61,63,1501
Ver,2017,217,89.9,655
Ver,2018,253,88.8,4475
Ver,2019,265,87.6,6146
Ver,2020,289,86.1,5784
Ver,2021,253,82.6,7716
Yuc,2017,191,27.2,123
Yuc,2018,235,32.5,1094
Yuc,2019,245,37.5,1737
Yuc,2020,243,26.6,1023
Yuc,2021,341,27.2,1593
Zac,2017,109,84.4,673
Zac,2018,99,89.5,4702
Zac,2019,117,80.6,4193
Zac,2020,126,84.8,3564
Zac,2021,131,83.9,5278
